time,interest
0:01,3
0:02,2
0:03,2
0:04,2
0:05,1
0:06,2
0:07,1
0:08,2
0:09,2
0:10,1
0:11,3
0:12,2
0:13,2
0:14,2
0:15,4
0:16,3
0:17,2
0:18,2
0:19,1
0:20,3
0:21,2
0:22,1
0:23,3
0:24,4
0:25,1
0:26,1
0:27,1
