time,interest
0:01,2
0:02,1
0:03,1
0:04,3
0:05,1
0:06,1
0:07,1
0:08,1
0:09,1
0:10,2
0:11,2
0:12,2
0:13,1
0:14,3
0:15,4
0:16,1
0:17,2
0:18,4
0:19,3
0:20,2
0:21,4
0:22,2
0:23,4
0:24,3
0:25,1
0:26,1
0:27,1
