created_at,median,average,size,width,variance,count
2022-12-13 01:00:00,1.0,0.9378842970893788,31878,0.0,0.0581210691749552,253
2022-12-13 01:01:00,1.0,0.5694897648702707,5460,1.0,0.2374652777335653,105
2022-12-13 01:02:00,0.5048903971910477,0.2398128423622244,1830,0.5048903971910477,0.1276779477080545,61
2022-12-13 01:03:00,0.5646998137235641,0.3282779430051133,990,0.5646998137235641,0.106492676856667,45
2022-12-13 01:04:00,0.6081071496009827,0.3453338645625288,378,0.6081071496009827,0.099580431745041,28
2022-12-13 01:05:00,0.4644638150930404,0.2556785364412313,378,0.4644638150930404,0.0868561601752508,28
2022-12-13 01:06:00,0.6289368867874146,0.3946717945887492,325,0.5061212703585625,0.0799796405276201,26
2022-12-13 01:07:00,0.5819051861763,0.4162391795118367,703,0.3148365318775177,0.0609923243965357,38
2022-12-13 01:08:00,0.6831202208995819,0.49543213406326,703,0.3236583620309829,0.0589458012127533,38
2022-12-13 01:09:00,0.6240276396274567,0.4506053091864092,990,0.2857626378536224,0.0619872753761919,45
2022-12-13 01:10:00,0.5711957663297653,0.3161711682629836,666,0.5711957663297653,0.0992519306083987,37
2022-12-13 01:11:00,0.6537343412637711,0.4293809126393917,780,0.4828788302838802,0.079309260573339,40
2022-12-13 01:12:00,0.65074223279953,0.4573324941203912,2080,0.3644520416855812,0.0531123092154705,65
2022-12-13 01:13:00,0.615290641784668,0.432002478171406,1225,0.3395026624202728,0.0516008157346708,50
2022-12-13 01:14:00,0.634638249874115,0.456870637225788,1035,0.3061666190624237,0.0551412482598262,46
2022-12-13 01:15:00,0.6099364310503006,0.3887691551538343,820,0.4520669057965278,0.0694941319511164,41
2022-12-13 01:16:00,0.5504649877548218,0.3541733895074956,1225,0.4362172558903694,0.0626959503958012,50
2022-12-13 01:17:00,0.5670504570007324,0.4006663656574272,2145,0.2997523844242096,0.0525121759931839,66
2022-12-13 01:18:00,0.5779335200786591,0.3685516244050774,1176,0.5779335200786591,0.0743249414506458,49
2022-12-13 01:19:00,0.7192056179046631,0.583069638616077,1378,0.2294811308383941,0.0382011065624642,53
2022-12-13 01:20:00,0.6784119158983231,0.5540978908538818,2016,0.2142978012561798,0.0307365600019693,64
2022-12-13 01:21:00,0.5778522491455078,0.45460163711288,1891,0.2395391762256622,0.0581367540530055,62
2022-12-13 01:22:00,0.5391708463430405,0.4021682666950845,1378,0.2945477776229381,0.0536743768344164,53
2022-12-13 01:23:00,0.6038768291473389,0.4362121749274992,820,0.291726604104042,0.0555306892275898,41
2022-12-13 01:24:00,0.5840020775794983,0.4026011228561401,300,0.3882500454783439,0.0484438240528106,25
2022-12-13 01:25:00,0.4337754547595978,0.3060279975989117,325,0.2613154202699661,0.0473993999190166,26
2022-12-13 01:26:00,0.652624785900116,0.4641244411468506,861,0.3835570514202118,0.0543928705155849,42
2022-12-13 01:27:00,0.6574130803346634,0.5397347211837769,946,0.2212748453021049,0.0331922248005867,44
2022-12-13 01:28:00,0.696835532784462,0.5343768102139484,1128,0.3122753351926803,0.0679336177553996,48
2022-12-13 01:29:00,0.6391808092594147,0.4734896832708143,1035,0.3504084050655365,0.0625951187388729,46
2022-12-13 01:30:00,0.6233479231595993,0.4318717643618583,666,0.3546448871493339,0.0610996245752394,37
2022-12-13 01:31:00,0.6309113204479218,0.4734045525133867,231,0.2535350471735,0.0462440536912287,22
2022-12-13 01:32:00,0.6833284497261047,0.4896853864192962,105,0.3628919720649719,0.0739385709166526,15
2022-12-13 01:33:00,0.5638471096754074,0.4329018592834472,210,0.2602810859680176,0.0384844988584518,21
2022-12-13 01:34:00,0.6448527574539185,0.4736187347126278,253,0.3210763037204742,0.0577398856404217,23
2022-12-13 01:35:00,0.6244755983352661,0.3513528119053757,171,0.6244755983352661,0.0942973661802712,19
2022-12-13 01:36:00,0.6123708486557007,0.3974091029510272,231,0.4717129841446876,0.0702656110287156,22
2022-12-13 01:37:00,0.7154360711574554,0.5241547431796789,120,0.3201436400413513,0.0693359950497738,16
2022-12-13 01:38:00,0.5607534050941467,0.3397575462552217,325,0.5607534050941467,0.0724372710724124,26
2022-12-13 01:39:00,0.63462895154953,0.4973544776439667,253,0.2631820440292358,0.0354768112301826,23
2022-12-13 01:40:00,0.5885452032089233,0.4016169178052971,253,0.3424009382724762,0.0564963827402699,23
2022-12-13 01:41:00,0.6529014557600021,0.4900713221105779,406,0.2676970809698105,0.0480927559042291,29
2022-12-13 01:42:00,0.5734181702136993,0.3391147391800181,595,0.5416142232716084,0.0746732135097204,35
2022-12-13 01:43:00,0.2540863752365112,0.2088647691222528,120,0.2540863752365112,0.1218096518016011,16
2022-12-13 01:44:00,0.5695416927337646,0.2663580045759023,91,0.5695416927337646,0.0875917489615282,14
2022-12-13 01:45:00,0.0,0.0931503017743428,15,0.0,0.036211698489102,6
2022-12-13 01:46:00,0.6885550916194916,0.4169938556022114,36,0.6885550916194916,0.1219099404769989,9
2022-12-13 01:47:00,0.3944170176982879,0.2629446784655253,3,0.3944170176982879,0.1382798078666769,3
2022-12-13 01:48:00,0.7510400414466858,0.7510400414466858,1,0.0,0.0,2
2022-12-13 01:49:00,0.5944452583789825,0.3247588261072404,78,0.5944452583789825,0.0866138244090551,13
2022-12-13 01:50:00,0.760147362947464,0.620229959487915,171,0.2436149716377258,0.0329922474920749,19
2022-12-13 01:51:00,0.6312542110681534,0.4304782186669332,378,0.3510147482156753,0.0700384108016372,28
2022-12-13 01:52:00,0.7084445953369141,0.5305461287498474,325,0.3271170854568481,0.0515987910330295,26
