,created_at,tweet
0,2022-01-24 15:00:00,31
1,2022-01-24 15:01:00,17
2,2022-01-24 15:02:00,56
3,2022-01-24 15:03:00,60
4,2022-01-24 15:04:00,94
5,2022-01-24 15:05:00,64
6,2022-01-24 15:06:00,69
7,2022-01-24 15:07:00,40
8,2022-01-24 15:08:00,24
9,2022-01-24 15:09:00,12
10,2022-01-24 15:10:00,29
11,2022-01-24 15:11:00,28
12,2022-01-24 15:12:00,12
13,2022-01-24 15:13:00,13
14,2022-01-24 15:14:00,18
15,2022-01-24 15:15:00,10
16,2022-01-24 15:16:00,16
17,2022-01-24 15:17:00,19
18,2022-01-24 15:18:00,24
19,2022-01-24 15:19:00,38
20,2022-01-24 15:20:00,41
21,2022-01-24 15:21:00,40
22,2022-01-24 15:22:00,46
23,2022-01-24 15:23:00,33
24,2022-01-24 15:24:00,23
25,2022-01-24 15:25:00,16
26,2022-01-24 15:26:00,16
27,2022-01-24 15:27:00,16
28,2022-01-24 15:28:00,22
29,2022-01-24 15:29:00,9
30,2022-01-24 15:30:00,10
31,2022-01-24 15:31:00,12
32,2022-01-24 15:32:00,14
33,2022-01-24 15:33:00,11
34,2022-01-24 15:34:00,7
35,2022-01-24 15:35:00,7
36,2022-01-24 15:36:00,8
37,2022-01-24 15:37:00,9
38,2022-01-24 15:38:00,11
39,2022-01-24 15:39:00,15
40,2022-01-24 15:40:00,13
41,2022-01-24 15:41:00,8
42,2022-01-24 15:42:00,7
43,2022-01-24 15:43:00,8
44,2022-01-24 15:44:00,5
45,2022-01-24 15:45:00,8
46,2022-01-24 15:46:00,2
47,2022-01-24 15:47:00,0
48,2022-01-24 15:48:00,1
49,2022-01-24 15:49:00,10
50,2022-01-24 15:50:00,10
51,2022-01-24 15:51:00,15
52,2022-01-24 15:52:00,17
53,2022-01-24 15:53:00,8
54,2022-01-24 15:54:00,3
55,2022-01-24 15:55:00,1
56,2022-01-24 15:56:00,2
57,2022-01-24 15:57:00,3
58,2022-01-24 15:58:00,5
59,2022-01-24 15:59:00,3
60,2022-01-24 16:00:00,3
61,2022-01-24 16:01:00,9
62,2022-01-24 16:02:00,10
63,2022-01-24 16:03:00,9
64,2022-01-24 16:04:00,7
65,2022-01-24 16:05:00,11
66,2022-01-24 16:06:00,7
67,2022-01-24 16:07:00,12
68,2022-01-24 16:08:00,10
69,2022-01-24 16:09:00,9
70,2022-01-24 16:10:00,9
71,2022-01-24 16:11:00,10
72,2022-01-24 16:12:00,12
73,2022-01-24 16:13:00,11
74,2022-01-24 16:14:00,12
75,2022-01-24 16:15:00,9
76,2022-01-24 16:16:00,5
77,2022-01-24 16:17:00,3
78,2022-01-24 16:18:00,2
79,2022-01-24 16:19:00,7
80,2022-01-24 16:20:00,18
81,2022-01-24 16:21:00,20
82,2022-01-24 16:22:00,31
83,2022-01-24 16:23:00,37
84,2022-01-24 16:24:00,32
85,2022-01-24 16:25:00,30
86,2022-01-24 16:26:00,30
87,2022-01-24 16:27:00,40
88,2022-01-24 16:28:00,31
89,2022-01-24 16:29:00,28
90,2022-01-24 16:30:00,40
91,2022-01-24 16:31:00,27
92,2022-01-24 16:32:00,24
93,2022-01-24 16:33:00,28
94,2022-01-24 16:34:00,22
95,2022-01-24 16:35:00,23
96,2022-01-24 16:36:00,20
97,2022-01-24 16:37:00,21
98,2022-01-24 16:38:00,29
99,2022-01-24 16:39:00,13
100,2022-01-24 16:40:00,15
101,2022-01-24 16:41:00,21
102,2022-01-24 16:42:00,18
103,2022-01-24 16:43:00,8
104,2022-01-24 16:44:00,20
105,2022-01-24 16:45:00,42
106,2022-01-24 16:46:00,23
107,2022-01-24 16:47:00,17
108,2022-01-24 16:48:00,11
109,2022-01-24 16:49:00,19
