,created_at,tweet,like
0,2023-01-22 01:00:00,661,14996
1,2023-01-22 01:01:00,292,2260
2,2023-01-22 01:02:00,214,1016
3,2023-01-22 01:03:00,124,519
4,2023-01-22 01:04:00,107,308
5,2023-01-22 01:05:00,108,262
6,2023-01-22 01:06:00,101,287
7,2023-01-22 01:07:00,96,343
8,2023-01-22 01:08:00,111,269
9,2023-01-22 01:09:00,164,692
10,2023-01-22 01:10:00,184,528
11,2023-01-22 01:11:00,236,561
12,2023-01-22 01:12:00,266,530
13,2023-01-22 01:13:00,195,329
14,2023-01-22 01:14:00,161,503
15,2023-01-22 01:15:00,197,578
16,2023-01-22 01:16:00,140,291
17,2023-01-22 01:17:00,81,169
18,2023-01-22 01:18:00,54,139
19,2023-01-22 01:19:00,45,140
20,2023-01-22 01:20:00,71,143
21,2023-01-22 01:21:00,103,133
22,2023-01-22 01:22:00,97,185
23,2023-01-22 01:23:00,84,105
24,2023-01-22 01:24:00,92,197
25,2023-01-22 01:25:00,105,213
26,2023-01-22 01:26:00,96,121
27,2023-01-22 01:27:00,75,188
28,2023-01-22 01:28:00,63,106
29,2023-01-22 01:29:00,85,289
30,2023-01-22 01:30:00,108,398
31,2023-01-22 01:31:00,95,99
32,2023-01-22 01:32:00,75,145
33,2023-01-22 01:33:00,73,78
34,2023-01-22 01:34:00,93,113
35,2023-01-22 01:35:00,87,105
36,2023-01-22 01:36:00,98,107
37,2023-01-22 01:37:00,77,184
38,2023-01-22 01:38:00,60,72
39,2023-01-22 01:39:00,68,105
40,2023-01-22 01:40:00,81,75
41,2023-01-22 01:41:00,69,99
42,2023-01-22 01:42:00,47,92
43,2023-01-22 01:43:00,26,39
44,2023-01-22 01:44:00,16,63
45,2023-01-22 01:45:00,12,16
46,2023-01-22 01:46:00,9,31
47,2023-01-22 01:47:00,25,128
48,2023-01-22 01:48:00,69,150
49,2023-01-22 01:49:00,120,209
50,2023-01-22 01:50:00,111,150
51,2023-01-22 01:51:00,132,133
52,2023-01-22 01:52:00,76,119
53,2023-01-22 01:53:00,49,105
54,2023-01-22 01:54:00,27,34
55,2023-01-22 01:55:00,41,203
56,2023-01-22 01:56:00,42,56
57,2023-01-22 01:57:00,51,56
58,2023-01-22 01:58:00,42,46
59,2023-01-22 01:59:00,30,44
60,2023-01-22 02:00:00,35,185
61,2023-01-22 02:01:00,22,41
62,2023-01-22 02:02:00,36,59
63,2023-01-22 02:03:00,49,124
64,2023-01-22 02:04:00,36,40
65,2023-01-22 02:05:00,28,78
66,2023-01-22 02:06:00,38,71
67,2023-01-22 02:07:00,59,131
68,2023-01-22 02:08:00,52,111
69,2023-01-22 02:09:00,51,97
70,2023-01-22 02:10:00,39,119
71,2023-01-22 02:11:00,36,52
72,2023-01-22 02:12:00,63,101
73,2023-01-22 02:13:00,101,245
74,2023-01-22 02:14:00,148,350
75,2023-01-22 02:15:00,179,457
76,2023-01-22 02:16:00,166,822
77,2023-01-22 02:17:00,100,204
78,2023-01-22 02:18:00,61,135
79,2023-01-22 02:19:00,27,128
80,2023-01-22 02:20:00,20,21
81,2023-01-22 02:21:00,17,106
82,2023-01-22 02:22:00,19,42
83,2023-01-22 02:23:00,35,63
84,2023-01-22 02:24:00,31,55
85,2023-01-22 02:25:00,65,125
86,2023-01-22 02:26:00,66,100
87,2023-01-22 02:27:00,48,52
88,2023-01-22 02:28:00,45,122
89,2023-01-22 02:29:00,46,102
90,2023-01-22 02:30:00,55,115
91,2023-01-22 02:31:00,44,106
92,2023-01-22 02:32:00,59,144
93,2023-01-22 02:33:00,45,96
94,2023-01-22 02:34:00,38,101
95,2023-01-22 02:35:00,45,67
96,2023-01-22 02:36:00,50,333
97,2023-01-22 02:37:00,49,327
98,2023-01-22 02:38:00,74,227
99,2023-01-22 02:39:00,84,117
100,2023-01-22 02:40:00,77,165
101,2023-01-22 02:41:00,73,1135
102,2023-01-22 02:42:00,41,70
103,2023-01-22 02:43:00,62,441
104,2023-01-22 02:44:00,46,75
105,2023-01-22 02:45:00,29,51
106,2023-01-22 02:46:00,22,70
107,2023-01-22 02:47:00,44,95
108,2023-01-22 02:48:00,97,152
109,2023-01-22 02:49:00,109,300
110,2023-01-22 02:50:00,78,140
111,2023-01-22 02:51:00,33,56
112,2023-01-22 02:52:00,27,65
113,2023-01-22 02:53:00,27,61
114,2023-01-22 02:54:00,46,451
115,2023-01-22 02:55:00,33,44
116,2023-01-22 02:56:00,49,74
117,2023-01-22 02:57:00,119,308
118,2023-01-22 02:58:00,283,1451
119,2023-01-22 02:59:00,246,919
120,2023-01-22 03:00:00,95,289
121,2023-01-22 03:01:00,42,183
122,2023-01-22 03:02:00,14,51
123,2023-01-22 03:03:00,14,4905
124,2023-01-22 03:04:00,4,10
