,created_at,tweet,like
0,2022-01-25 15:00:00,6,28
1,2022-01-25 15:01:00,9,18
2,2022-01-25 15:02:00,17,19
3,2022-01-25 15:03:00,24,42
4,2022-01-25 15:04:00,22,73
5,2022-01-25 15:05:00,16,454
6,2022-01-25 15:06:00,7,9
7,2022-01-25 15:07:00,9,10
8,2022-01-25 15:08:00,6,3
9,2022-01-25 15:09:00,7,17
10,2022-01-25 15:10:00,14,62
11,2022-01-25 15:11:00,13,68
12,2022-01-25 15:12:00,18,338
13,2022-01-25 15:13:00,14,92
14,2022-01-25 15:14:00,13,297
15,2022-01-25 15:15:00,11,59
16,2022-01-25 15:16:00,15,60
17,2022-01-25 15:17:00,23,73
18,2022-01-25 15:18:00,15,58
19,2022-01-25 15:19:00,26,156
20,2022-01-25 15:20:00,23,161
21,2022-01-25 15:21:00,12,398
22,2022-01-25 15:22:00,13,337
23,2022-01-25 15:23:00,12,18
24,2022-01-25 15:24:00,19,77
25,2022-01-25 15:25:00,11,35
26,2022-01-25 15:26:00,16,66
27,2022-01-25 15:27:00,12,375
28,2022-01-25 15:28:00,13,31
29,2022-01-25 15:29:00,10,379
30,2022-01-25 15:30:00,9,6
31,2022-01-25 15:31:00,18,79
32,2022-01-25 15:32:00,16,39
33,2022-01-25 15:33:00,5,9
34,2022-01-25 15:34:00,12,42
35,2022-01-25 15:35:00,9,21
36,2022-01-25 15:36:00,8,12
37,2022-01-25 15:37:00,12,23
38,2022-01-25 15:38:00,11,16
39,2022-01-25 15:39:00,10,39
40,2022-01-25 15:40:00,6,18
41,2022-01-25 15:41:00,3,40
42,2022-01-25 15:42:00,3,15
43,2022-01-25 15:43:00,1,0
44,2022-01-25 15:44:00,1,27
45,2022-01-25 15:45:00,3,48
46,2022-01-25 15:46:00,1,0
47,2022-01-25 15:47:00,5,19
48,2022-01-25 15:48:00,1,0
49,2022-01-25 15:49:00,8,8
50,2022-01-25 15:50:00,5,30
51,2022-01-25 15:51:00,2,129
52,2022-01-25 15:52:00,2,9
53,2022-01-25 15:53:00,0,0
54,2022-01-25 15:54:00,2,14
55,2022-01-25 15:55:00,2,4
56,2022-01-25 15:56:00,2,167
57,2022-01-25 15:57:00,0,0
58,2022-01-25 15:58:00,0,0
59,2022-01-25 15:59:00,0,0
60,2022-01-25 16:00:00,0,0
61,2022-01-25 16:01:00,5,1
62,2022-01-25 16:02:00,9,6
63,2022-01-25 16:03:00,9,30
64,2022-01-25 16:04:00,4,2304
65,2022-01-25 16:05:00,2,1
66,2022-01-25 16:06:00,2,8
67,2022-01-25 16:07:00,1,5
68,2022-01-25 16:08:00,4,0
69,2022-01-25 16:09:00,4,7
70,2022-01-25 16:10:00,11,34
71,2022-01-25 16:11:00,7,9
72,2022-01-25 16:12:00,12,64
73,2022-01-25 16:13:00,5,17
74,2022-01-25 16:14:00,5,15
75,2022-01-25 16:15:00,9,44
76,2022-01-25 16:16:00,7,20
77,2022-01-25 16:17:00,32,527
78,2022-01-25 16:18:00,26,33
79,2022-01-25 16:19:00,21,31
80,2022-01-25 16:20:00,20,64
81,2022-01-25 16:21:00,14,24
82,2022-01-25 16:22:00,14,39
83,2022-01-25 16:23:00,19,34
84,2022-01-25 16:24:00,13,20
85,2022-01-25 16:25:00,14,28
86,2022-01-25 16:26:00,19,430
87,2022-01-25 16:27:00,17,9
88,2022-01-25 16:28:00,16,19
89,2022-01-25 16:29:00,12,468
90,2022-01-25 16:30:00,12,29
91,2022-01-25 16:31:00,12,50
92,2022-01-25 16:32:00,15,31
93,2022-01-25 16:33:00,14,477
94,2022-01-25 16:34:00,13,47
95,2022-01-25 16:35:00,7,17
96,2022-01-25 16:36:00,12,18
97,2022-01-25 16:37:00,12,28
98,2022-01-25 16:38:00,15,26
99,2022-01-25 16:39:00,10,16
100,2022-01-25 16:40:00,18,27
101,2022-01-25 16:41:00,10,50
102,2022-01-25 16:42:00,16,30
103,2022-01-25 16:43:00,16,73
104,2022-01-25 16:44:00,14,24
105,2022-01-25 16:45:00,7,16
106,2022-01-25 16:46:00,9,18
107,2022-01-25 16:47:00,8,30
108,2022-01-25 16:48:00,11,46
109,2022-01-25 16:49:00,10,26
110,2022-01-25 16:50:00,11,2613
111,2022-01-25 16:51:00,12,25
112,2022-01-25 16:52:00,12,86
113,2022-01-25 16:53:00,6,75
114,2022-01-25 16:54:00,6,11
