,created_at,tweet,like
0,2022-01-16 01:00:00,799,18816
1,2022-01-16 01:01:00,277,2323
2,2022-01-16 01:02:00,110,751
3,2022-01-16 01:03:00,199,1559
4,2022-01-16 01:04:00,213,840
5,2022-01-16 01:05:00,162,521
6,2022-01-16 01:06:00,166,379
7,2022-01-16 01:07:00,150,248
8,2022-01-16 01:08:00,89,183
9,2022-01-16 01:09:00,77,165
10,2022-01-16 01:10:00,72,113
11,2022-01-16 01:11:00,49,58
12,2022-01-16 01:12:00,45,42
13,2022-01-16 01:13:00,35,88
14,2022-01-16 01:14:00,43,128
15,2022-01-16 01:15:00,69,187
16,2022-01-16 01:16:00,93,182
17,2022-01-16 01:17:00,80,229
18,2022-01-16 01:18:00,114,276
19,2022-01-16 01:19:00,129,233
20,2022-01-16 01:20:00,109,218
21,2022-01-16 01:21:00,78,80
22,2022-01-16 01:22:00,55,69
23,2022-01-16 01:23:00,45,79
24,2022-01-16 01:24:00,53,329
25,2022-01-16 01:25:00,61,123
26,2022-01-16 01:26:00,84,143
27,2022-01-16 01:27:00,117,192
28,2022-01-16 01:28:00,169,183
29,2022-01-16 01:29:00,146,112
30,2022-01-16 01:30:00,174,380
31,2022-01-16 01:31:00,199,224
32,2022-01-16 01:32:00,104,112
33,2022-01-16 01:33:00,52,86
34,2022-01-16 01:34:00,51,358
35,2022-01-16 01:35:00,104,126
36,2022-01-16 01:36:00,92,80
37,2022-01-16 01:37:00,115,135
38,2022-01-16 01:38:00,82,94
39,2022-01-16 01:39:00,50,50
40,2022-01-16 01:40:00,18,17
41,2022-01-16 01:41:00,20,259
42,2022-01-16 01:42:00,11,11
43,2022-01-16 01:43:00,22,99
44,2022-01-16 01:44:00,16,47
45,2022-01-16 01:45:00,12,29
46,2022-01-16 01:46:00,24,82
47,2022-01-16 01:47:00,17,20
48,2022-01-16 01:48:00,71,146
49,2022-01-16 01:49:00,71,175
50,2022-01-16 01:50:00,74,73
51,2022-01-16 01:51:00,77,68
52,2022-01-16 01:52:00,76,148
53,2022-01-16 01:53:00,64,111
54,2022-01-16 01:54:00,76,143
55,2022-01-16 01:55:00,70,60
56,2022-01-16 01:56:00,86,170
57,2022-01-16 01:57:00,121,277
58,2022-01-16 01:58:00,117,88
59,2022-01-16 01:59:00,95,178
60,2022-01-16 02:00:00,106,240
61,2022-01-16 02:01:00,87,124
62,2022-01-16 02:02:00,43,66
63,2022-01-16 02:03:00,35,76
64,2022-01-16 02:04:00,27,118
65,2022-01-16 02:05:00,17,34
66,2022-01-16 02:06:00,20,29
67,2022-01-16 02:07:00,9,82
68,2022-01-16 02:08:00,13,20
69,2022-01-16 02:09:00,13,11
70,2022-01-16 02:10:00,20,154
71,2022-01-16 02:11:00,30,48
72,2022-01-16 02:12:00,42,41
73,2022-01-16 02:13:00,95,221
74,2022-01-16 02:14:00,93,76
75,2022-01-16 02:15:00,48,94
76,2022-01-16 02:16:00,31,26
77,2022-01-16 02:17:00,35,34
78,2022-01-16 02:18:00,34,35
79,2022-01-16 02:19:00,50,56
80,2022-01-16 02:20:00,81,124
81,2022-01-16 02:21:00,60,112
82,2022-01-16 02:22:00,69,72
83,2022-01-16 02:23:00,69,134
84,2022-01-16 02:24:00,77,215
85,2022-01-16 02:25:00,55,175
86,2022-01-16 02:26:00,41,106
87,2022-01-16 02:27:00,95,103
88,2022-01-16 02:28:00,169,265
89,2022-01-16 02:29:00,214,368
90,2022-01-16 02:30:00,153,140
91,2022-01-16 02:31:00,116,282
92,2022-01-16 02:32:00,89,938
93,2022-01-16 02:33:00,38,47
94,2022-01-16 02:34:00,69,136
95,2022-01-16 02:35:00,75,96
96,2022-01-16 02:36:00,57,121
97,2022-01-16 02:37:00,71,120
98,2022-01-16 02:38:00,66,70
99,2022-01-16 02:39:00,72,110
100,2022-01-16 02:40:00,71,188
101,2022-01-16 02:41:00,29,27
102,2022-01-16 02:42:00,32,42
103,2022-01-16 02:43:00,43,31
104,2022-01-16 02:44:00,68,164
105,2022-01-16 02:45:00,103,1772
106,2022-01-16 02:46:00,79,141
107,2022-01-16 02:47:00,99,398
108,2022-01-16 02:48:00,77,106
109,2022-01-16 02:49:00,82,68
110,2022-01-16 02:50:00,88,132
111,2022-01-16 02:51:00,96,299
112,2022-01-16 02:52:00,113,213
113,2022-01-16 02:53:00,55,93
114,2022-01-16 02:54:00,41,46
115,2022-01-16 02:55:00,61,111
116,2022-01-16 02:56:00,41,85
117,2022-01-16 02:57:00,34,82
118,2022-01-16 02:58:00,248,2651
119,2022-01-16 02:59:00,222,995
120,2022-01-16 03:00:00,64,239
121,2022-01-16 03:01:00,33,4560
122,2022-01-16 03:02:00,21,15711
123,2022-01-16 03:03:00,15,19
124,2022-01-16 03:04:00,6,10
