created_at,q1,q2,q3,mean,stdev
2022-01-16 01:00:00,-0.0017211675876751542,0.1463225930929184,0.36795414984226227,0.23257206,0.31046268
2022-01-16 01:01:00,0.026843019295483828,0.15824145078659058,0.36208363622426987,0.22787532,0.28268275
2022-01-16 01:02:00,0.059698134660720825,0.19073325395584106,0.3382670432329178,0.21587013,0.21547283
2022-01-16 01:03:00,0.07384669035673141,0.24557502567768097,0.5912943184375763,0.3460688,0.33799732
2022-01-16 01:04:00,0.1164417713880539,0.24442005157470703,0.41622159630060196,0.34463176,0.32301888
2022-01-16 01:05:00,0.14344124495983124,0.24731607735157013,0.3752628564834595,0.2812494,0.21587096
2022-01-16 01:06:00,0.19660096988081932,0.31405244767665863,0.45036904513835907,0.3361124,0.1882388
2022-01-16 01:07:00,0.22519931942224503,0.3407522141933441,0.453556552529335,0.3404786,0.17098664
2022-01-16 01:08:00,0.1869548186659813,0.3014201521873474,0.42420293390750885,0.30762643,0.17181386
2022-01-16 01:09:00,0.20641951262950897,0.34347009658813477,0.47617435455322266,0.34748065,0.2005184
2022-01-16 01:10:00,0.18950098752975464,0.3163509666919708,0.4531776010990143,0.32938573,0.2002306
2022-01-16 01:11:00,0.21225879713892937,0.3349393308162689,0.46042443066835403,0.33293858,0.17509142
2022-01-16 01:12:00,0.28015314042568207,0.4141117185354233,0.5429246574640274,0.4077614,0.1787027
2022-01-16 01:13:00,0.24775692075490952,0.3796855956315994,0.5681643933057785,0.39755005,0.20036747
2022-01-16 01:14:00,0.21843307092785835,0.3385694622993469,0.46296707540750504,0.34823817,0.18154734
2022-01-16 01:15:00,0.19966290146112442,0.32035142183303833,0.44593121856451035,0.3299263,0.17560634
2022-01-16 01:16:00,0.15611369907855988,0.3111836463212967,0.4543822854757309,0.30929908,0.1985488
2022-01-16 01:17:00,0.20666620880365372,0.3372304439544678,0.47700126469135284,0.3461449,0.20307392
2022-01-16 01:18:00,0.18991325050592422,0.3135243356227875,0.46385708451271057,0.33429193,0.19881015
