created_at,q1,q2,q3,mean,stdev
2022-01-16 02:12:00,0.1687307059764862,0.2986258566379547,0.41652950644493103,0.29994696,0.18311734
2022-01-16 02:13:00,0.1587355025112629,0.3034976124763489,0.4649435728788376,0.33026394,0.22446674
2022-01-16 02:14:00,0.17346134781837463,0.3139795958995819,0.46483081579208374,0.33092746,0.21097936
2022-01-16 02:15:00,0.1668151617050171,0.2620515823364258,0.3834005445241928,0.28449717,0.1653125
2022-01-16 02:16:00,0.11803564988076687,0.23066037148237228,0.3611128181219101,0.2534857,0.18861558
2022-01-16 02:17:00,0.23410794138908386,0.35989910364151,0.48809702694416046,0.35857448,0.17325406
2022-01-16 02:18:00,0.18147298321127892,0.3247487097978592,0.4539998322725296,0.32348642,0.18452823
2022-01-16 02:19:00,0.2191745564341545,0.34038108587265015,0.47435764223337173,0.35309294,0.17971918
2022-01-16 02:20:00,0.18697037547826767,0.3202384263277054,0.47114256769418716,0.33892626,0.20556219
2022-01-16 02:21:00,0.3314153552055359,0.4593815505504608,0.579297661781311,0.4517483,0.17728147
2022-01-16 02:22:00,0.2821738049387932,0.4481976181268692,0.5952758342027664,0.43980247,0.22271855
2022-01-16 02:23:00,0.20611827075481415,0.3325503170490265,0.45670923590660095,0.34572545,0.19862467
2022-01-16 02:24:00,0.24626711010932922,0.3525133728981018,0.4700039327144623,0.36179456,0.16951083
2022-01-16 02:25:00,0.2350369207561016,0.3600146621465683,0.4944131448864937,0.3634922,0.17184766
2022-01-16 02:26:00,0.25133512914180756,0.3645155727863312,0.4683911204338074,0.37233308,0.16608301
2022-01-16 02:27:00,0.19756492972373962,0.3117685914039612,0.43713100254535675,0.32650238,0.18626751
2022-01-16 02:28:00,0.1492760181427002,0.26156380772590637,0.4265402853488922,0.33547565,0.2774194
2022-01-16 02:29:00,0.16332684457302094,0.2741665095090866,0.4445708692073822,0.32955357,0.23832674
2022-01-16 02:30:00,0.17109476029872894,0.2974586486816406,0.4597829282283783,0.3306666,0.21531306
2022-01-16 02:31:00,0.1913696676492691,0.31450413167476654,0.46038197726011276,0.33111486,0.18697885
2022-01-16 02:32:00,0.262167364358902,0.40642017126083374,0.5267408490180969,0.39927042,0.18293832
2022-01-16 02:33:00,0.23022817447781563,0.36927781999111176,0.5186148434877396,0.37382442,0.18058586
2022-01-16 02:34:00,0.1437026858329773,0.2607203423976898,0.4463605582714081,0.31888756,0.23878644
