created_at,q1,q2,q3,mean,stdev
2022-01-16 01:00:00,-0.02506595104932785,0.11339567601680756,0.291351817548275,0.20111446,0.29854745
2022-01-16 01:01:00,0.010819201357662678,0.13279128074645996,0.33331573009490967,0.20687336,0.27325282
2022-01-16 01:02:00,0.06720969080924988,0.18807709962129593,0.34077297151088715,0.21736826,0.2184377
2022-01-16 01:03:00,-0.0037070181570015848,0.11475580930709839,0.4595504105091095,0.26984367,0.36633784
2022-01-16 01:04:00,0.00011237920261919498,0.11462709307670593,0.3883821666240692,0.2513943,0.36237302
2022-01-16 01:05:00,0.03476650267839432,0.2192874550819397,0.3822719156742096,0.23565544,0.24499013
2022-01-16 01:06:00,0.19880541786551476,0.3296210318803787,0.47404708713293076,0.34354568,0.20495823
2022-01-16 01:07:00,0.23130720853805542,0.34836065769195557,0.461743026971817,0.34410483,0.17629012
2022-01-16 01:08:00,0.18522484600543976,0.301659494638443,0.4191272258758545,0.30694976,0.17035413
2022-01-16 01:09:00,0.21447713673114777,0.35627642273902893,0.48565513640642166,0.35096043,0.19471744
2022-01-16 01:10:00,0.2003408893942833,0.33179402351379395,0.46556897461414337,0.33967164,0.20027472
2022-01-16 01:11:00,0.22182966768741608,0.33631300926208496,0.4586697816848755,0.3394307,0.16516632
2022-01-16 01:12:00,0.27652204036712646,0.4204895794391632,0.5519140958786011,0.4110571,0.18491466
2022-01-16 01:13:00,0.2535249814391136,0.39402441680431366,0.5566933453083038,0.40008095,0.19550167
2022-01-16 01:14:00,0.2065805196762085,0.33284053206443787,0.46546758711338043,0.3410304,0.18233277
2022-01-16 01:15:00,0.20520183444023132,0.3309682309627533,0.45207344740629196,0.33664843,0.17441967
2022-01-16 01:16:00,0.15161029994487762,0.3020751178264618,0.4384068548679352,0.30028185,0.19305791
2022-01-16 01:17:00,0.16828611120581627,0.31493087112903595,0.4524068087339401,0.3204899,0.2027615
2022-01-16 01:18:00,0.19946742057800293,0.32516881823539734,0.47108978033065796,0.3423485,0.19738156
2022-01-16 01:19:00,0.08574411273002625,0.22478321194648743,0.4213277995586395,0.27361226,0.23744978
2022-01-16 01:20:00,0.10356724821031094,0.24717580527067184,0.4255634993314743,0.2811159,0.22136164
2022-01-16 01:21:00,0.13772818446159363,0.28159621357917786,0.4498909115791321,0.29693994,0.20760427
2022-01-16 01:22:00,0.13280422985553741,0.27196256816387177,0.4370314031839371,0.28945416,0.2083469
2022-01-16 01:23:00,0.1984761878848076,0.3165266215801239,0.4554494321346283,0.33078155,0.18495037
2022-01-16 01:24:00,0.200278639793396,0.31820881366729736,0.43870243430137634,0.32817778,0.18167782
2022-01-16 01:25:00,0.11082771420478821,0.1991787552833557,0.3381800353527069,0.24509794,0.19626504
